Date,Name,Year,Letterboxd URI
2017-09-23,Parade,1974,https://boxd.it/jSq
2017-09-23,Damnation Alley,1977,https://boxd.it/1va8
2017-09-23,The Thin Blue Line,1988,https://boxd.it/1OnK
2017-09-23,Birdman of Alcatraz,1962,https://boxd.it/29kM
2017-09-23,Night of the Running Man,1995,https://boxd.it/Ahc
2017-09-24,Mountains May Depart,2015,https://boxd.it/a86U
2017-09-24,Rakka,2017,https://boxd.it/gvZK
2017-09-24,A Single Man,2009,https://boxd.it/1dx4
2017-09-27,Stray Dogs,2013,https://boxd.it/6gL4
2017-09-27,Loving Vincent,2017,https://boxd.it/biIQ
2017-10-02,One Million Years B.C.,1966,https://boxd.it/2596
2017-10-05,Shadow of the Vampire,2000,https://boxd.it/1Vb2
2017-10-06,Satantango,1994,https://boxd.it/1j9M
2017-10-10,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2017-10-11,Body of Evidence,1993,https://boxd.it/27kA
2017-10-17,Metropolis,2001,https://boxd.it/1YfQ
2017-11-15,The Cranes Are Flying,1957,https://boxd.it/169Y
2017-11-15,Menashe,2017,https://boxd.it/fbvo
2017-11-16,Mayhem,2017,https://boxd.it/fesW
2017-12-02,Voyeur,2017,https://boxd.it/gYJG
2017-12-07,The Last Wave,1977,https://boxd.it/2oOM
2017-12-11,Rat Film,2016,https://boxd.it/epeY
2017-12-25,Hong Kong Trilogy: Preschooled Preoccupied Preposterous,2015,https://boxd.it/c4jO
2018-01-16,American Boy: A Profile of Steven Prince,1978,https://boxd.it/1fqu
2018-01-16,Walking the Streets of Moscow,1964,https://boxd.it/1qNu
2018-01-17,The Four Feathers,1939,https://boxd.it/1VW8
2018-01-17,Buster's Mal Heart,2016,https://boxd.it/cIAg
2018-02-22,Industrial Symphony No. 1: The Dream of the Brokenhearted,1990,https://boxd.it/Spo
2018-02-24,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,https://boxd.it/4gcu
2018-02-24,Red Desert,1964,https://boxd.it/1ttW
2018-03-06,Jiro Dreams of Sushi,2011,https://boxd.it/2ONU
2018-03-06,Q,1982,https://boxd.it/1r7a
2018-03-06,Ten Skies,2004,https://boxd.it/48Qc
2018-04-03,Angst,1983,https://boxd.it/1G46
2018-04-04,At Sea,2007,https://boxd.it/4hs4
2018-04-06,Thoroughbreds,2017,https://boxd.it/dVHQ
2018-04-10,Otaku Vampires,2016,https://boxd.it/gAFq
2018-04-17,The Picture of Dorian Gray,1945,https://boxd.it/1JXe
2018-04-18,Evil Ed,1995,https://boxd.it/1w9K
2018-04-18,Planet of the Vampires,1965,https://boxd.it/1HQg
